base_metabolite,frequency,models_present,always_metanetx,sometimes_metanetx,standardization_rate
MNXM55261,1,,TRUE,TRUE,1
MNXM55269,1,,TRUE,TRUE,1
MNXM55732,1,,TRUE,TRUE,1
MNXM573,1,,TRUE,TRUE,1
MNXM57348,1,,TRUE,TRUE,1
MNXM5748,1,,TRUE,TRUE,1
MNXM5749,1,,TRUE,TRUE,1
MNXM57835,1,,TRUE,TRUE,1
MNXM582,1,,TRUE,TRUE,1
MNXM59271,1,,TRUE,TRUE,1
MNXM5970,1,,TRUE,TRUE,1
MNXM598,1,,TRUE,TRUE,1
MNXM61025,1,,TRUE,TRUE,1
MNXM61028,1,,TRUE,TRUE,1
MNXM61032,1,,TRUE,TRUE,1
MNXM61743,1,,TRUE,TRUE,1
MNXM62524,1,,TRUE,TRUE,1
MNXM635,1,,TRUE,TRUE,1
MNXM636,1,,TRUE,TRUE,1
MNXM639,1,,TRUE,TRUE,1
MNXM6409,1,,TRUE,TRUE,1
MNXM644,1,,TRUE,TRUE,1
MNXM6451,1,,TRUE,TRUE,1
MNXM64550,1,,TRUE,TRUE,1
MNXM652,1,,TRUE,TRUE,1
MNXM65458,1,,TRUE,TRUE,1
MNXM659,1,,TRUE,TRUE,1
MNXM660,1,,TRUE,TRUE,1
MNXM664,1,,TRUE,TRUE,1
MNXM670,1,,TRUE,TRUE,1
MNXM681265,1,,TRUE,TRUE,1
MNXM716,1,,TRUE,TRUE,1
MNXM7191,1,,TRUE,TRUE,1
MNXM721,1,,TRUE,TRUE,1
MNXM722715,1,,TRUE,TRUE,1
MNXM722742,1,,TRUE,TRUE,1
MNXM722749,1,,TRUE,TRUE,1
MNXM722752,1,,TRUE,TRUE,1
MNXM722779,1,,TRUE,TRUE,1
MNXM722856,1,,TRUE,TRUE,1
MNXM722983,1,,TRUE,TRUE,1
MNXM722992,1,,TRUE,TRUE,1
MNXM724960,1,,TRUE,TRUE,1
MNXM726092,1,,TRUE,TRUE,1
MNXM726863,1,,TRUE,TRUE,1
MNXM726864,1,,TRUE,TRUE,1
MNXM726879,1,,TRUE,TRUE,1
MNXM726951,1,,TRUE,TRUE,1
MNXM727218,1,,TRUE,TRUE,1
MNXM727224,1,,TRUE,TRUE,1
MNXM727315,1,,TRUE,TRUE,1
MNXM727786,1,,TRUE,TRUE,1
MNXM727821,1,,TRUE,TRUE,1
MNXM728782,1,,TRUE,TRUE,1
MNXM728946,1,,TRUE,TRUE,1
MNXM729150,1,,TRUE,TRUE,1
MNXM729591,1,,TRUE,TRUE,1
MNXM729595,1,,TRUE,TRUE,1
MNXM729618,1,,TRUE,TRUE,1
MNXM729619,1,,TRUE,TRUE,1
MNXM729869,1,,TRUE,TRUE,1
MNXM729971,1,,TRUE,TRUE,1
MNXM730185,1,,TRUE,TRUE,1
MNXM730213,1,,TRUE,TRUE,1
MNXM730390,1,,TRUE,TRUE,1
