"","taxon","Kingdom","Phylum","Class","Order","Family","Genus","accession"
"116","Bacillus sp. T33-2","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"117","Clostridium sporogenes","Bacteria","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium",NA
"118","Clostridium sp. UBA2485","Bacteria","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium",NA
"119","Bradyrhizobium sp. AUGA SZCCT0283","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae","Bradyrhizobium",NA
"120","Bacillus mycoides","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"121","Bacillus mycoides","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"122","Bacillus atrophaeus","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"123","Bacillus atrophaeus","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"124","Clostridium minihomine","Bacteria","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium",NA
"125","Bradyrhizobium paxllaeri","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae","Bradyrhizobium",NA
"126","Bacillus sp. FJAT-28004","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"127","Bacillus sp. FJAT-28004","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"128","Bacillus sp. ISL-55","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"129","Bacillus sp. ISL-55","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"130","Clostridium sp. SN20","Bacteria","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium",NA
"131","Nitrospira bacterium HGW-Nitrospira-1","Bacteria","Nitrospirota","Nitrospiria","","","",NA
"132","Clostridium polyendosporum","Bacteria","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium",NA
"133","Bacillus albus","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"134","Bacillus albus","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"135","Bradyrhizobium lablabi","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae","Bradyrhizobium",NA
"136","Bradyrhizobium sp. Gha","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae","Bradyrhizobium",NA
"137","Mortierella sp. GBA35","Eukaryota","Mucoromycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella",NA
"138","Bacillus sp. J33","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"139","Bacillus sp. J33","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"140","Clostridium manihotivorum","Bacteria","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium",NA
"141","Bradyrhizobium niftali","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae","Bradyrhizobium",NA
"142","Mortierella sp. AD032","Eukaryota","Mucoromycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella",NA
"143","Bacillus sp. BHET2","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"144","Bacillus sp. BHET2","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"145","Bacillus sp. AFS073361","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"146","Bacillus sp. AFS073361","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"147","Bacillus sp. KH172YL63","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"148","Bacillus sp. KH172YL63","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"149","Bradyrhizobium rifense","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae","Bradyrhizobium",NA
"150","Bacillus smithii","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"151","Bacillus smithii","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"152","Nitrosomonas nitrosa","Bacteria","Pseudomonadota","Betaproteobacteria","Nitrosomonadales","Nitrosomonadaceae","Nitrosomonas",NA
"153","Bacillus gaemokensis","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"154","Bacillus gaemokensis","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"155","Lachancea fermentati","Eukaryota","Ascomycota","Saccharomycetes","Saccharomycetales","Saccharomycetaceae","Lachancea",NA
"156","Clostridium sp. D53t1_180928_C8","Bacteria","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium",NA
"157","Bacillus sp. FJAT-22090","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"158","Bacillus sp. FJAT-22090","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"159","Bradyrhizobium sp. NFR13","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae","Bradyrhizobium",NA
"160","Bradyrhizobium sp. MOS003","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae","Bradyrhizobium",NA
"161","Bacillus canaveralius","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"162","Bacillus canaveralius","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"163","Sinorhizobium fredii","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Rhizobiaceae","Sinorhizobium",NA
"164","Bacillus marinisedimentorum","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"165","Bacillus marinisedimentorum","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"166","Bradyrhizobium sp. SRL28","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae","Bradyrhizobium",NA
"167","Bradyrhizobium sp.","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae","Bradyrhizobium",NA
"168","Clostridium sp. 1001175st1 A10","Bacteria","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium",NA
"169","Methanosarcina spelaei","Archaea","Euryarchaeota","Methanomicrobia","Methanosarcinales","Methanosarcinaceae","Methanosarcina",NA
"170","Methanosarcina spelaei","Archaea","Euryarchaeota","Methanomicrobia","Methanosarcinales","Methanosarcinaceae","Methanosarcina",NA
"171","Bacillus sp. DNRA2","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"172","Bacillus sp. DNRA2","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"173","Bacillus clarus","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"174","Bacillus clarus","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"175","Clostridium vincentii","Bacteria","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium",NA
"176","Bradyrhizobium sp. JYMT SZCCT0428","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae","Bradyrhizobium",NA
"177","Clostridium uliginosum","Bacteria","Bacillota","Clostridia","Eubacteriales","Clostridiaceae","Clostridium",NA
"178","Bradyrhizobium sp. AUGA SZCCT0042","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Nitrobacteraceae","Bradyrhizobium",NA
"179","Sinorhizobium kostiense","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Rhizobiaceae","Sinorhizobium",NA
"180","Bacillus sp. ISL-41","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"181","Bacillus sp. ISL-41","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
"182","Bacillus sp. FJAT-25509","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Bacillus",NA
