base_metabolite,frequency,models_present,always_metanetx,sometimes_metanetx,standardization_rate
L_DASH_KYNURENINE_CCO_DASH_EXTRACELLULAR,1,,FALSE,FALSE,0
L_DASH_ORNITHINE_CCO_DASH_EXTRACELLULAR,1,,FALSE,FALSE,0
L_DASH_XYLULOSE_CCO_DASH_EXTRACELLULAR,1,,FALSE,FALSE,0
LalaDglu,1,,FALSE,FALSE,0
LalaLglu,1,,FALSE,FALSE,0
MALTOSE_CCO_DASH_EXTRACELLULAR,1,,FALSE,FALSE,0
MALTOTETRAOSE_CCO_DASH_EXTRACELLULAR,1,,FALSE,FALSE,0
MALTOTRIOSE_CCO_DASH_EXTRACELLULAR,1,,FALSE,FALSE,0
MAL_CCO_DASH_EXTRACELLULAR,1,,FALSE,FALSE,0
MALe_c,1,,FALSE,FALSE,0
MANNANe_c,1,,FALSE,FALSE,0
MANNITOL_CCO_DASH_EXTRACELLULAR,1,,FALSE,FALSE,0
MANNOSE,1,,FALSE,FALSE,0
MANe_c,1,,FALSE,FALSE,0
MELIBIOSE_CCO_DASH_EXTRACELLULAR,1,,FALSE,FALSE,0
MELIe_c,1,,FALSE,FALSE,0
METHOLe_c,1,,FALSE,FALSE,0
MET_CCO_DASH_EXTRACELLULAR,1,,FALSE,FALSE,0
METe_c,1,,FALSE,FALSE,0
MLTIOSEe_c,1,,FALSE,FALSE,0
MLTe_c,1,,FALSE,FALSE,0
MNTe_c,1,,FALSE,FALSE,0
MNXM1021,1,,TRUE,TRUE,1
MNXM1021_c,1,,FALSE,FALSE,0
MNXM1031,1,,TRUE,TRUE,1
MNXM1037,1,,TRUE,TRUE,1
MNXM104029,1,,TRUE,TRUE,1
MNXM1043_c,1,,FALSE,FALSE,0
MNXM105788,1,,TRUE,TRUE,1
MNXM1075,1,,TRUE,TRUE,1
MNXM107505_c,1,,FALSE,FALSE,0
MNXM10798,1,,TRUE,TRUE,1
MNXM107_c,1,,FALSE,FALSE,0
MNXM1081,1,,TRUE,TRUE,1
MNXM10816,1,,TRUE,TRUE,1
MNXM1088,1,,TRUE,TRUE,1
MNXM1089795,1,,TRUE,TRUE,1
MNXM1089820,1,,TRUE,TRUE,1
MNXM1089862,1,,TRUE,TRUE,1
MNXM1089866,1,,TRUE,TRUE,1
MNXM108_c,1,,FALSE,FALSE,0
MNXM1091608,1,,TRUE,TRUE,1
